#    x_shift     y_shift   expansion         E_unrelaxed           E_relaxed
       0.125      0.4375         1.5       -463.21786103       -471.98525761
       0.125      0.4375         2.0       -459.53585211       -469.32020432
       0.125         0.5        -1.0       -364.59878514       -459.90778031
       0.125         0.5        -0.5       -412.18431432       -468.10824527
       0.125         0.5         0.0       -439.42164604        -473.8891883
       0.125         0.5         0.5       -452.75739336       -475.79742547
       0.125         0.5         1.0       -457.40935389       -475.26384086
       0.125         0.5         1.5       -457.31611472       -472.17227608
       0.125         0.5         2.0       -455.49641067       -469.51066078
       0.125      0.5625        -1.0       -351.48914609       -463.76437474
       0.125      0.5625        -0.5       -398.01150836       -470.73174215
       0.125      0.5625         0.0       -427.27155887       -474.24405128
       0.125      0.5625         0.5       -444.56948438        -475.0977723
       0.125      0.5625         1.0       -452.57010102       -474.20016866
       0.125      0.5625         1.5       -454.46162554       -470.88056908
       0.125      0.5625         2.0       -453.79683309       -468.08185177
       0.125       0.625        -1.0       -398.71619835       -466.84027529
       0.125       0.625        -0.5       -429.67273515        -474.0471461
       0.125       0.625         0.0       -447.42612715       -477.16978923
       0.125       0.625         0.5       -456.05759841       -477.25680676
       0.125       0.625         1.0       -458.71464873       -474.84425818
       0.125       0.625         1.5       -458.09011525       -470.64385971
       0.125       0.625         2.0       -455.92503214       -468.79096847
       0.125      0.6875        -1.0       -420.02121876        -467.0508471
       0.125      0.6875        -0.5       -450.88301773       -474.51463418
       0.125      0.6875         0.0       -464.35068251       -477.85576482
       0.125      0.6875         0.5       -467.79552564       -477.70325784
       0.125      0.6875         1.0       -466.69600316        -475.2325929
       0.125      0.6875         1.5       -463.86860415       -471.40439289
       0.125      0.6875         2.0       -459.85581185       -468.94579192
       0.125        0.75        -1.0       -393.20330137       -463.88338399
       0.125        0.75        -0.5       -438.47649705       -472.28520811
       0.125        0.75         0.0       -460.49620997       -476.49954557
       0.125        0.75         0.5       -467.58620035       -476.86797128
       0.125        0.75         1.0       -467.42781896        -474.8003332
       0.125        0.75         1.5       -464.57366274        -472.3161872
       0.125        0.75         2.0       -460.51702575        -468.9242456
       0.125      0.8125        -1.0       -367.53367009       -460.44428646
       0.125      0.8125        -0.5       -418.75134527       -468.89486363
       0.125      0.8125         0.0       -445.89834712       -474.57232758
       0.125      0.8125         0.5       -457.47124146       -475.84391054
       0.125      0.8125         1.0       -460.42069298       -475.38251076
       0.125      0.8125         1.5       -459.28455269       -471.90471482
       0.125      0.8125         2.0       -456.77897984       -469.03783915
       0.125       0.875        -1.0       -354.56969414       -462.10289027
       0.125       0.875        -0.5       -399.55012594       -469.66287591
       0.125       0.875         0.0       -428.40584197       -473.47716785
       0.125       0.875         0.5       -445.31668706        -475.0123412
       0.125       0.875         1.0       -453.02695212       -474.37206232
       0.125       0.875         1.5       -454.71503543       -472.02403901
       0.125       0.875         2.0        -453.9350745       -468.23542992
       0.125      0.9375        -1.0       -380.16476201       -466.20536468
       0.125      0.9375        -0.5        -416.0285909       -473.21667772
       0.125      0.9375         0.0       -438.39230068       -476.51986362
       0.125      0.9375         0.5       -450.77305343       -476.60213047
       0.125      0.9375         1.0       -455.76737821       -474.31953278
       0.125      0.9375         1.5       -456.28145922       -470.67040725
       0.125      0.9375         2.0       -454.83908618       -465.75884184
       0.125         1.0        -1.0       -419.27253616       -467.28274344
       0.125         1.0        -0.5       -448.30263382       -474.73323855
       0.125         1.0         0.0       -461.34968734       -477.89442497
       0.125         1.0         0.5       -465.17926733       -477.78008463
       0.125         1.0         1.0       -464.59723843       -475.20786564
       0.125         1.0         1.5       -462.19175711       -471.10466765
       0.125         1.0         2.0       -458.63200438       -468.48678531
      0.1875         0.0        -1.0        -420.5161081       -467.17697099
      0.1875         0.0        -0.5       -449.02880623       -474.60769452
      0.1875         0.0         0.0       -461.80776518       -477.81206551
      0.1875         0.0         0.5       -465.46230698       -477.58932285
      0.1875         0.0         1.0       -464.73982954       -475.07040007
      0.1875         0.0         1.5       -462.21914465       -471.13618455
      0.1875         0.0         2.0       -458.58870117       -468.64683347
      0.1875      0.0625        -1.0       -407.10863777       -465.28593994
      0.1875      0.0625        -0.5       -445.65876834       -473.16077552
      0.1875      0.0625         0.0       -463.70923284       -476.73802536
      0.1875      0.0625         0.5       -468.95949297       -477.05769312
      0.1875      0.0625         1.0       -468.21330808       -475.41983639
